query,intention,other
bar nantes,bar,
bar montparnasse,bar,
bar à jeux strasbourg,bar,
bar lille,bar,
bar à vin aix en provence,bar,
Bar a chats Paris tout arrondissement,bar,
Bar a soupe Paris,bar,
bar république,bar,
bar reims,bar,
bar a jeux toulouse,bar,
bar à bière pau,bar,
bar a vin strasbourg,bar,
bar chatelet,bar,
bars ou restos Grenoble lundi soir,bar,
bars musicaux anderlecht,bar,
bars nantes,bar,
bars nation,bar,
bars nice place du pin,bar,
bars originaux nantes,bar,
bars place d'italie,bar,
Gare de Lyon bar,bar,
bars massy,bar,
bars grenoble,bar,
bars lanhouaneau,bar,
bars molsheim,bar,
bars arras,bar,
bars à tapas st laurent du var,bar,
bars à thème vannes,bar,
bars à ongle versailles,bar,
bars à montparnasse,bar,
bars à metz,bar,
bars à marcadet,bar,
bars à louannec,bar,
bars à jeux à st nazaire,bar,
bars à jeux bordeaux,bar,
bars à jeu à Paris,bar,
bars à cholet,bar,
bars à café,bar,
bars à bully dans le rhone,bar,
bars st marc sur mer,bar,
bars st malo,bar,
bars lyon,bar,
bars ouverts le dimanche nantes,bar,
bars ouverts 25 décembre nantes,bar,
bars ouverts besançon dimanche,bar,
bars ouverts dimanche soir lille,bar,
bars ouverts le dimanche nantes,bar,
bars ouverts le dimanche neuilly,bar,
bars ouverts rennes 24 décembre,bar,
bars ouverts à blagnac le dimanche,bar,
hotels bruges belgique,hotel,
hotels bruxelle centre avec parking,hotel,
hotels bruxelles 4 étoiles,hotel,
hotels brignols,hotel,
hotels caen proches universite;,hotel,
hotels bordeaux sciences po,hotel,
hotels briançon 05100,hotel,
hotels caleta de fuste fuerteventura,hotel,
hotels caluire,hotel,
hotels calvados,hotel,
hotels calvi corse,hotel,
hotels cancale,hotel,
hotels cancale,hotel,
hotels cape town,hotel,
hotels capri,hotel,
hotels carcasonne,hotel,
hotels carpentras,hotel,
hotels carquefou,hotel,
hotels carqueirane pages jaunes,hotel,
hotels carroz d'araches,hotel,
hotels cap d'agde,hotel,
hotels cancun aéroport,hotel,
hotels cannes 5 étoiles,hotel,
hotels cap d'agde vue sur mer,hotel,
hotels barriere lille,hotel,
hotels barsac,hotel,
hotels barèges,hotel,
hotels battambang,hotel,
hotels beauval,hotel,
hotels beauval 41,hotel,
hotels barcelon e,hotel,
hotels bord de mer grece,hotel,
hotels bord de mer ille et vilaine,hotel,
hotels bord de mer martinique,hotel,
hotels bordeaux,hotel,
hotels bonifacio,hotel,
hotels blanquefort,hotel,
hotels bologne,hotel,
hotels besançon,hotel,
hotels d'Etat Cuba,hotel,
hotels d'exception cote d'azur,hotel,
hotels cuba,hotel,
hotels dans le 91,hotel,
hotels dans le 9eme arrondissement marseille,hotel,
hotels dans la brenne,hotel,
hotels cordoue espagne,hotel,
hotels corinthe,hotel,
hotels copenhague,hotel,
hotels compiègne,hotel,
hotels conakry,hotel,
musées lyon,museum,
musées paris,museum,
musées de paris,museum,
musées  de paris,museum,
musées grevin,museum,
musées  ville de paris,museum,
musées ville de paris,museum,
musées d'art moderne,museum,
musées toulouse,museum,
musées d'art moderne paris,museum,
musées bruxelles,museum,
musees de la ville de paris,museum,
musee art moderne paris,museum,
musees paris,museum,
musee d'orsay,museum,
carte musées paris,museum,
musées paris,museum,
musées harry potter,museum,
musées  lyon,museum,
musées a paris,museum,
musées bourdelle,museum,
musées d'art moderne de la ville de paris,museum,
musées cernushi,museum,
musées cognacq jay,museum,
paris musées,museum,
musées klee,museum,
musées keromnes,museum,
musées kernascleden,museum,
musées kennedy boston audioguide,museum,
musées kenedy boston,museum,
musées karlsruhe,museum,
musées kafka,museum,
musées junibacken,museum,
musées junibacken,museum,
musées grenoble,museum,
musées grec paris,museum,
musées gratuits geneve,museum,
musées gratuits dimanche Paris,museum,
musées gratuit venise,museum,
musées gratuit strasbourg,museum,
musées gratuit paris étudiant,museum,
musées gratuit paris personnes handicapés,museum,
musées gratuit paris,museum,
Martinique musées,museum,
acces musées parisien,museum,
acces musées paris abonnement,museum,
achat billets musées,museum,
abonnements musées,museum,
colmar musées,museum,
exposition musées paris,museum,
pharmacie,pharmacy,
pharmacie meudon,pharmacy,
pharmacie niort,pharmacy,
pharmacie herblay,pharmacy,
pharmacie groisy,pharmacy,
pharmacie le faou,pharmacy,
pharmacie villé,pharmacy,
pharmacie weber annonay,pharmacy,
pharmacie vernon,pharmacy,
pharmacie veigy,pharmacy,
pharmacies à st amand les eaux,pharmacy,
pharmacie chessy,pharmacy,
pharmacie chambery le haut,pharmacy,
pharmacie croix blanche dijon,pharmacy,
pharmacie boulogne,pharmacy,
pharmacie balard,pharmacy,
pharmacie du marché montgeron,pharmacy,
thiers 63300 pharmacies,pharmacy,
pharmacie de garde 44,pharmacy,
pharmacie de garde bagnere de luchon,pharmacy,
pharmacie dagneux,pharmacy,
pharmacie ouverte le plan du castellet,pharmacy,
pharmacie ouverte à ezy-sur-eure,pharmacy,
pharmacie ouverte lyon,pharmacy,
pharmacie ouverte dimanche nice,pharmacy,
pharmacie orthopédique,pharmacy,
liste pharmacies castelnau le lez,pharmacy,
liste pharmacie de rouen,pharmacy,
liste pharmacie de garde pau,pharmacy,
liste pharmacie de garde maine et loire,pharmacy,
liste pharmacie  fargues saint hilaire,pharmacy,
liste des pharmacies sur valenciennes 59,pharmacy,
liste des pharmacies de la région de Lorient 56,pharmacy,
liste des pharmaciens a fécamp,pharmacy,
liste des pharmaciele mans,pharmacy,
van colen pharmacie bayeux,pharmacy,
vannes pharmacies,pharmacy,
trouver pharmacie de garde 21,pharmacy,
pharmacie St Germain du puy,pharmacy,
pharmacie St Géniès de Malgoires,pharmacy,
pharmacie de lacenas,pharmacy,
pharmacie de labenne,pharmacy,
pharmacie saint nauphary,pharmacy,
pharmacie saint molf,pharmacy,
Dax pharmacie de garde,pharmacy,
Des terrasses de l'Arche pharmacie,pharmacy,
Décines pharmacie bonneveau,pharmacy,
Côte de nacre pharmacie,pharmacy,
dol de bretagne pharmacie,pharmacy,
commelle vernay pharmacie,pharmacy,
restaurant,restaurant,
bistrot à proximité du Théatre des Champs Elysées,supermarket,
restaurant nancy,restaurant,
restaurant metz,restaurant,
restaurant caen,restaurant,
restaurant blagnac,restaurant,
restaurant bourges,restaurant,
restaurant chartres,restaurant,
restaurant bourg en bresse,restaurant,
restaurant lorient,restaurant,
restaurant nimes,restaurant,
restaurant montauban,restaurant,
rennes pizzeria,restaurant,
restaurants nantes,restaurant,
restaurant epinal,restaurant,
restaurant obernai,restaurant,
restaurant troyes,restaurant,
resto beuzeville,restaurant,
resto bon et pas trop cher pres du pantheon paris,restaurant,
resto blagnac,restaurant,
resto chinois clean,restaurant,
resto chinois beaune,restaurant,
resto chinois a emerainville,restaurant,
buffets restaurants asiatiques tours,restaurant,
Restaurant saint omer,restaurant,
Restaurant poivre rouge à garde,restaurant,
Restaurants trans en provence,restaurant,
Restaurants st jean de beauregard,restaurant,
Restaurants saint tropez ouverts en janvier,restaurant,
Restaurants proche grand palais paris,restaurant,
Restaurants poissons cannes.,restaurant,
Restaurants place morgan 13 salon,restaurant,
madeleine paris restaurant,restaurant,
Restaurants place du corbeau Strasbourg,restaurant,
Restaurants près  Gare Montparnasse,restaurant,
Restaurants près Montparnasse,restaurant,
Restaurants près aeroport blagnac,restaurant,
Restaurants quartier beaugrenelle,restaurant,
Restaurants à Pont de Celles,restaurant,
Restauration rapide à brignoles,restaurant,
Restaurant indien Villeneuve les Avignon,restaurant,
Restaurant indien Pau,restaurant,
Pizzeria lille,restaurant,
Pizzeria leclerc cherre,restaurant,
Restos à marseille,restaurant,
Restos tours,restaurant,
restaurant bourg en bresse,restaurant,
pralognan restaurant,restaurant,
brest restau,restaurant,
resto nantes,restaurant,
supermarché,supermarché,
Monoprix Luneville,supermarket,
Bricorama Châtillon,supermarket,
lidl chalon,supermarket,
carrefour compiegne,supermarket,
spar alimentation lorient,supermarket,
petit casino charavine,supermarket,
nocibe auchan,supermarket,
proxi alimentation fréteval,supermarket,
Lidl vitry sur seine,supermarket,
Biocoop à Lambersart,supermarket,
Aldi roinville,supermarket,
commerces proximité 1ère classe Roissy Charles de Gaulle,supermarket,
commerce à proximité de nanchez,supermarket,
Leclerc à Nice,supermarket,
coutelier Picardie,supermarket,
franprix jules joffrin,supermarket,
grand frais Montelimar,supermarket,
drive carrefour market,supermarket,
drive carrefour market colomiers,supermarket,
e.leclerc de montceau les mines 71300,supermarket,
e.Leclerc Sport st pol de leon,supermarket,
e. leclerc le plan de grasse,supermarket,
e leclerc quimper,supermarket,
e-leclerc mimizan,supermarket,
dépannage chauffage lesparre,supermarket,
déménagement express pas cher,supermarket,
déménagement express,supermarket,
déménageurs spécialisés de pianos en normandie,supermarket,
dépannage proximité lyon,supermarket,
dépannage proxiserve harnes,supermarket,
alimentation pas chère,supermarket,
liste boutiques,supermarket,
easycash cash converters cash express,supermarket,
liste commerces,supermarket,
carrefour en Normandie,supermarket,
épiceries,supermarket,
ebennettoyage,supermarket,
eau parfum joy leclerc mont de marsan,supermarket,
eaux de normandie cany,supermarket,
eaux de normandie langrune,supermarket,
eaux-bonne casino,supermarket,
eaux thermales baldi costa ric,supermarket,
entreprises de nettoyage thonon,supermarket,
epicerie casino uriage,supermarket,
galerie marchande,supermarket,
blois lidl,supermarket,
bio coop oyonnax,supermarket,
bio coop rouen,supermarket,
biocoop marceau,supermarket,
